127.0.0.1 - - [27/Aug/2023:23:49:43 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:49:45 +0530] "GET /project/ HTTP/1.1" 200 14971
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:49:45 +0530] "GET /project/css/owl.carousel.min.css HTTP/1.1" 200 3351
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:49:45 +0530] "GET /project/css/owl.theme.default.min.css HTTP/1.1" 200 1013
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:49:45 +0530] "GET /project/css/unicons.css HTTP/1.1" 200 59971
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:49:45 +0530] "GET /project/css/bootstrap.min.css HTTP/1.1" 200 155758
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:49:45 +0530] "GET /project/css/tooplate-style.css HTTP/1.1" 200 9894
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:49:45 +0530] "GET /project/js/jquery-3.3.1.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:49:45 +0530] "GET /project/images/undraw/undraw_software_engineer_lvl5.svg HTTP/1.1" 200 13560
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:49:45 +0530] "GET /project/images/project/project-image02.png HTTP/1.1" 200 110843
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:49:45 +0530] "GET /project/images/project/project-image04.png HTTP/1.1" 200 147394
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:49:45 +0530] "GET /project/images/project/project-image01.png HTTP/1.1" 200 89524
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:49:45 +0530] "GET /project/js/popper.min.js HTTP/1.1" 200 19188
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:49:45 +0530] "GET /project/js/bootstrap.min.js HTTP/1.1" 200 58072
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:49:45 +0530] "GET /project/js/jQuery.headroom.js HTTP/1.1" 200 851
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:49:45 +0530] "GET /project/js/Headroom.js HTTP/1.1" 200 5359
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:49:45 +0530] "GET /project/images/project/project-image03.png HTTP/1.1" 200 67432
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:49:45 +0530] "GET /project/js/smoothscroll.js HTTP/1.1" 200 4474
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:49:45 +0530] "GET /project/js/owl.carousel.min.js HTTP/1.1" 200 44342
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:49:45 +0530] "GET /project/js/custom.js HTTP/1.1" 200 746
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:49:45 +0530] "GET /project/images/project/project-image05.png HTTP/1.1" 200 157862
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:49:46 +0530] "GET /project/font/unicons.woff2?42479262 HTTP/1.1" 200 135648
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:49:48 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:53:30 +0530] "GET /project/ HTTP/1.1" 200 14976
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:53:30 +0530] "GET /project/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:53:30 +0530] "GET /project/css/owl.theme.default.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:53:30 +0530] "GET /project/css/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:53:30 +0530] "GET /project/images/undraw/undraw_software_engineer_lvl5.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:53:30 +0530] "GET /project/css/unicons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:53:30 +0530] "GET /project/js/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:53:30 +0530] "GET /project/images/project/project-image01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:53:30 +0530] "GET /project/css/tooplate-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:53:30 +0530] "GET /project/images/project/project-image02.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:53:30 +0530] "GET /project/images/project/project-image03.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:53:30 +0530] "GET /project/images/project/project-image04.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:53:30 +0530] "GET /project/js/Headroom.js HTTP/1.1" 304 -
