127.0.0.1 - - [25/Sep/2023:01:09:52 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/Sep/2023:01:09:53 +0530] "GET /project/ HTTP/1.1" 200 15666
0:0:0:0:0:0:0:1 - - [25/Sep/2023:01:10:00 +0530] "GET /project/admin.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Sep/2023:01:10:00 +0530] "GET /project/login.jsp HTTP/1.1" 200 6465
0:0:0:0:0:0:0:1 - - [25/Sep/2023:01:10:00 +0530] "GET /changeCredential.css HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [25/Sep/2023:01:10:16 +0530] "POST /project/Auth HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Sep/2023:01:10:16 +0530] "GET /project/login.jsp HTTP/1.1" 200 6605
0:0:0:0:0:0:0:1 - - [25/Sep/2023:01:10:16 +0530] "GET /changeCredential.css HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [25/Sep/2023:01:10:17 +0530] "GET /project/login.jsp HTTP/1.1" 200 6465
0:0:0:0:0:0:0:1 - - [25/Sep/2023:01:10:17 +0530] "GET /changeCredential.css HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [25/Sep/2023:01:10:47 +0530] "POST /project/Auth HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Sep/2023:01:10:47 +0530] "GET /project/login.jsp HTTP/1.1" 200 6596
0:0:0:0:0:0:0:1 - - [25/Sep/2023:01:10:47 +0530] "GET /changeCredential.css HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [25/Sep/2023:01:10:48 +0530] "GET /project/login.jsp HTTP/1.1" 200 6465
0:0:0:0:0:0:0:1 - - [25/Sep/2023:01:10:48 +0530] "GET /changeCredential.css HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [25/Sep/2023:01:11:03 +0530] "POST /project/Auth HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Sep/2023:01:11:03 +0530] "GET /project/login.jsp HTTP/1.1" 200 6604
0:0:0:0:0:0:0:1 - - [25/Sep/2023:01:11:03 +0530] "GET /changeCredential.css HTTP/1.1" 404 771
